288;359;IPv4 Unicast;37.49.236.0/23
289;359;IPv6 Unicast;2001:7f8:54::/64
290;35;IPv6 Unicast;2001:7f8:b:100::/64
291;361;IPv6 Unicast;2001:43f8::/64
292;361;IPv4 Unicast;196.223.5.0/24
293;422;IPv4 Unicast;196.223.25.0/25
294;428;IPv4 Multicast;198.9.201.0/24 
295;428;IPv4 Multicast;198.9.202.0/24 
296;428;IPv4 Unicast;198.32.136.0/24
297;428;IPv4 Unicast;198.32.153.0/24
298;428;IPv6 Unicast;2001:478:6663:100::/64
299;428;IPv6 Unicast;2001:478:6663:200::/64
300;63;IPv6 Unicast;2001:7f8:f::/64
301;319;IPv4 Unicast;91.220.194.0/24
302;319;IPv6 Unicast;2001:7F8:46::/64
303;429;IPv4 Unicast;103.16.102.0/23
304;429;IPv6 Unicast;2001:de8:12::/56
305;430;IPv4 Unicast;193.105.214.0/24
306;223;IPv4 Unicast;193.232.87.0/24
307;223;IPv6 Unicast;2001:7f8:20:401::/64
308;93;IPv6 Unicast;2001:de8:d::/64
309;343;IPv4 Unicast;198.32.120.0/24
310;435;IPv4 Unicast;91.217.231.0/24
311;303;IPv4 Unicast;193.192.15.64/26
312;303;IPv6 Unicast;2001:7f8:28::/48
313;452;IPv4 Unicast;218.100.41.0/24
314;453;IPv4 Unicast;91.198.176.0/24
315;453;IPv6 Unicast;2001:7f8:41::/48
316;375;IPv4 Unicast;218.100.27.0/24
317;375;IPv6 Unicast;2001:7fa:f::/48
318;463;IPv4 Unicast;202.128.12.0/26
319;73;IPv6 Unicast;2001:7f8:2c:1000::/64
320;9;IPv6 Unicast;2001:504:10::/64
321;11;IPv6 Unicast;2001:504:12::/64
322;165;IPv6 Unicast;2001:478:195::/64
324;125;IPv4 Unicast;119.27.63.0/24
325;418;IPv4 Unicast;187.16.193.0/24
326;418;IPv6 Unicast;2001:12f8:0:16::/64
327;469;IPv4 Unicast;119.110.115.0/24
328;469;IPv4 Unicast;119.110.116.0/23
329;469;IPv4 Unicast;119.110.118.0/24
330;469;IPv6 Unicast;2404:c000:4004::/64
331;475;IPv4 Unicast;91.192.104.0/24
332;477;IPv4 Unicast;195.60.89.0/24
333;477;IPv6 Unicast;2001:7f8:5e::/64
334;457;IPv4 Unicast;194.117.52.128/25
335;457;IPv6 Unicast;2001:7f8:5c::/64
336;94;IPv6 Unicast;2001:DE8:6::/64
337;125;IPv6 Unicast;2001:DE8:7::/64
338;158;IPv6 Unicast;2001:DE8:4::/64
339;167;IPv4 Unicast;203.190.230.0/24
340;167;IPv6 Unicast;2001:DE8:5::/64 
341;250;IPv4 Unicast;218.100.44.0/24
342;250;IPv6 Unicast;2001:de8:10::/112
343;488;IPv4 Unicast;196.216.148.0/24
344;476;IPv4 Unicast;206.223.120.0/24
345;476;IPv6 Unicast;2001:504:18::/48
346;98;IPv6 Unicast;2001:7f8:7::/112
347;363;IPv6 Unicast;2604:2c00:ffff:fff0::/64
348;498;IPv4 Unicast;188.116.45.0/24
350;26;IPv6 Unicast;2001:7f8:1::/64
353;506;IPv6 Unicast;2001:504:21::/64
354;506;IPv4 Unicast;206.123.0.0/24
355;512;IPv4 Unicast;193.28.6.0/24
356;513;IPv4 Unicast;218.100.78.0/24
357;513;IPv6 Unicast;2001:7fa:11:1::/64
358;514;IPv4 Unicast;206.197.131.0/24
359;24;IPv4 Unicast;206.108.34.0/23
360;24;IPv6 Unicast;2001:504:1a::34:0/111
361;524;IPv4 Unicast;193.8.61.192/26
362;18;IPv6 Unicast;2001:7f8:4:0::/64
363;321;IPv6 Unicast;2001:7f8:4:1::/64
364;87;IPv6 Unicast;2001:7f8:19::/48
365;129;IPv4 Unicast;196.223.15.0/24 (VoIP)
366;129;IPv6 Unicast;2001:43f8:01f0:1::/64 (VoiP)
367;344;IPv6 Unicast;2001:43f8:01f1:0::/64 (Data)
368;344;IPv4 Unicast;196.223.23.0/24 (VoiP)
369;344;IPv6 Unicast;2001:43f8:01f1:1::/64 (VoIP)
370;528;IPv4 Unicast;192.168.10.0/24
372;530;IPv4 Unicast;80.81.201.0/24
373;530;IPv6 Unicast;2001:7f8:62::/64
374;536;IPv4 Unicast;193.105.116.0/24
375;171;IPv4 Unicast;187.16.216.0/21
376;446;IPv4 Unicast;206.108.255.0/24
377;446;IPv6 Unicast;2001:504:27::/64
378;499;IPv4 Unicast;204.107.122.0/25
379;499;IPv6 Unicast;2001:19e0:ffff::/64
380;100;IPv6 Unicast;2001:7f8:20:102::/64
381;543;IPv4 Unicast;91.232.229.0/24
382;543;IPv6 Unicast;2001:7f8:66::/64
383;267;IPv4 Unicast;206.197.210.0/24
384;254;IPv4 Unicast;206.51.46.0/24
385;481;IPv4 Unicast;212.91.0.0/22
386;481;IPv6 Unicast;2001:7f8:60::/48
387;563;IPv4 Unicast;206.123.7.0/24
389;30;IPv6 Unicast;2001:de8:8::/64
390;564;IPv4 Unicast;103.246.232.0/24
392;373;IPv6 Unicast;2001:504:D:80::/64
393;565;IPv4 Unicast;206.108.236.0/24
394;566;IPv4 Unicast;218.100.21.0/24
395;349;IPv4 Unicast;218.100.24.0/24
396;97;IPv4 Unicast;192.203.154.0/24
397;97;IPv6 Unicast;2001:7fa:4:c0cb::/64
398;348;IPv4 Unicast;202.7.0.0/23
399;348;IPv6 Unicast;2001:7fa:3:ca07::/64
400;63;IPv4 Unicast;193.149.1.128/25
401;63;IPv6 Unicast;2001:7F8:f:1::/64
402;573;IPv4 Unicast;200.0.18.0/24
403;572;IPv4 Unicast;218.100.84.0/24
404;482;IPv6 Unicast;2001:7f8:27::/48
405;482;IPv4 Unicast;195.149.232.0/23
406;255;IPv6 Unicast;2001:7F8:43::/64
407;254;IPv6 Unicast;2605:6C00:303:303::/64
408;410;IPv4 Unicast;91.216.67.0/24
409;410;IPv6 Unicast;2001:7f8:59:0:75::/96
410;126;IPv6 Unicast;2001:0DE8:000C::/64
411;14;IPv4 Unicast;206.51.30.0/24
412;14;IPv6 Unicast;2001:504:1:0::/64
413;14;IPv6 Unicast;2001:504:1:9::/64
414;593;IPv4 Unicast;198.32.114.0/24
415;593;IPv6 Unicast;2001:504:0:6::/64
416;88;IPv6 Unicast;2403:2400:1100::/64
419;35;IPv4 Unicast;217.29.68.0/23
420;35;IPv6 Unicast;2001:7f8:b:101::/64
421;424;IPv4 Unicast;193.105.163.0/24
422;624;IPv4 Unicast;206.223.125.0/25
423;624;IPv4 Multicast;206.223.125.128/25 
424;624;IPv6 Unicast;2001:504:29::/64
425;1;IPv4 Unicast;206.126.236.0/22
426;628;IPv4 Unicast;196.223.28.0/24
427;628;IPv6 Unicast;2001:43f8:03c0::/48
428;33;IPv4 Unicast;192.65.185.0/24
429;33;IPv6 Unicast;2001:7F8:1C:24A::/64
430;587;IPv4 Unicast;185.1.8.0/24
431;587;IPv6 Unicast;2001:7f8:73::/64
432;55;IPv6 Unicast;2001:7f8:35::/64
433;640;IPv4 Unicast;206.123.30.0/24
434;640;IPv6 Unicast;2001:504:22:30::/64
435;72;IPv6 Unicast;2001:7f8:a:1::/64
436;392;IPv6 Unicast;2001:7f8:6a::/64
437;662;IPv4 Unicast;208.157.218.0/24
438;662;IPv6 Unicast;2607:f8b8:fff1:6566::/64
439;583;IPv4 Unicast;195.66.244.0/24
440;583;IPv6 Unicast;2001:7F8:4:2::/64
442;577;IPv4 Unicast;103.247.139.0/25
443;577;IPv6 Unicast;2001:df0:296::/64
444;62;IPv6 Unicast;2001:7f8:2a::/64
445;688;IPv4 Unicast;92.240.144.0/24
446;691;IPv4 Unicast;218.100.54.0/25
447;691;IPv6 Unicast;2001:7fa:11:3::/64
448;677;IPv4 Unicast;62.69.144.0/23
449;677;IPv6 Unicast;2001:7f8:8:15::/64
450;676;IPv4 Unicast;62.69.146.0/23
451;676;IPv6 Unicast;2001:7f8:8:20::/64
452;366;IPv6 Unicast;2001:13c7:6004::/64
453;274;IPv6 Unicast;2001:4300:96::/64
454;274;IPv4 Unicast;81.21.96.0/24
455;313;IPv4 Unicast;91.194.218.0/24
456;329;IPv4 Unicast;91.213.73.0/24
457;69;IPv6 Unicast;2001:7f8:47:47::/64
458;699;IPv4 Unicast;193.218.0.0/24
459;699;IPv6 Unicast;2001:67c:29f0::/64
460;703;IPv4 Unicast;206.72.208.0/24
461;703;IPv6 Unicast;2001:504:26::/64
462;683;IPv4 Unicast;91.203.127.0/24
463;683;IPv6 Unicast;2001:7f8:77::0/64
464;176;IPv4 Unicast;200.219.139.0/24
465;176;IPv6 Unicast;2001:12f8:0:3::/64
466;178;IPv4 Unicast;200.192.110.0/24
467;178;IPv6 Unicast;2001:12f8:0:13::/64
468;603;IPv4 Unicast;200.192.109.0/24
469;603;IPv6 Unicast;2001:12f8:0:12::/64
470;415;IPv4 Unicast;200.192.108.0/24
471;415;IPv6 Unicast;2001:12f8:0:11::/64
472;558;IPv4 Unicast;187.16.197.0/24
473;558;IPv6 Unicast;2001:12f8:0:20::/64
474;174;IPv4 Unicast;200.219.140.0/24
475;174;IPv6 Unicast;2001:12f8:0:4::/64
476;175;IPv4 Unicast;200.219.141.0/24
477;175;IPv6 Unicast;2001:12f8:0:5::/64
478;575;IPv4 Unicast;200.192.111.0/24
479;575;IPv6 Unicast;2001:12f8:0:14::/64
480;314;IPv4 Unicast;200.219.144.0/24
481;314;IPv6 Unicast;2001:12f8:0:7::/64
482;707;IPv4 Unicast;187.16.198.0/24
483;707;IPv6 Unicast;2001:12f8:0:21::/64
484;708;IPv4 Unicast;187.16.196.0/24
485;708;IPv6 Unicast;2001:12f8:0:19::/64
486;173;IPv4 Unicast;200.219.143.0/24
487;173;IPv6 Unicast;2001:12f8:0:6::/64
488;705;IPv4 Unicast;200.219.147.0/24
489;705;IPv6 Unicast;2001:12f8:0:10::/64
490;177;IPv4 Unicast;200.219.138.0/24
491;177;IPv6 Unicast;2001:12f8:0:2::/64
492;556;IPv4 Unicast;200.219.145.0/24
493;556;IPv6 Unicast;2001:12f8:0:8::/64
494;638;IPv4 Unicast;187.16.192.0/24
495;638;IPv6 Unicast;2001:12f8:0:15::/64
496;709;IPv4 Unicast;187.16.199.0/24
497;709;IPv6 Unicast;2001:12f8:0:22::/64
498;171;IPv6 Unicast;2001:12f8::/64
499;706;IPv4 Unicast;187.16.194.0/24
500;706;IPv6 Unicast;2001:12f8:0:17::/64
501;710;IPv4 Unicast;200.219.146.0/24
502;710;IPv6 Unicast;2001:12f8:0:9::/64
503;711;IPv4 Unicast;187.16.195.0/24
504;711;IPv6 Unicast;2001:12f8:0:18::/64
505;716;IPv4 Unicast;218.100.52.0/24
506;716;IPv6 Unicast;2001:7fa:11:4::/64
507;21;IPv6 Unicast;2001:7fa:11::/64
508;576;IPv4 Unicast;103.2.116.0/24
509;576;IPv6 Unicast;2001:7fa:11:2::/64
510;639;IPv4 Unicast;206.126.225.0/24
511;639;IPv6 Unicast;2001:504:2f::/64
512;31;IPv4 Unicast;80.81.199.0/24
513;713;IPv4 Unicast;91.213.211.0/24
514;745;IPv4 Unicast;195.66.246.0/24
515;762;IPv4 Unicast;185.1.18.0/24
516;762;IPv6 Unicast;2001:67c:2b9c::/48
517;745;IPv6 Unicast;2001:7f8:4:3::/64
518;776;IPv4 Unicast;206.126.109.0/24
519;776;IPv6 Unicast;2001:504:2c::0/116
520;155;IPv6 Unicast;2001:504:30::/48
521;671;IPv4 Unicast;206.126.228.0/24
522;671;IPv6 Unicast;2001:504:32:0::/64
523;671;IPv6 Unicast;2001:504:32:1::/64
524;671;IPv6 Unicast;2001:504:32:2::/64
525;671;IPv6 Unicast;2001:504:32:3::/64
526;809;IPv4 Unicast;206.126.235.0/26
527;809;IPv6 Unicast;2001:504:33::/64
529;780;IPv6 Unicast;2001:dea:0:10::/64
530;355;IPv4 Unicast;198.179.18.0/24
531;777;IPv4 Unicast;206.55.196.0/23
532;777;IPv6 Unicast;2001:504:31::/64
533;822;IPv4 Unicast;84.22.159.0/24
534;355;IPv6 Unicast;2620:1F:4000::/48
535;496;IPv4 Unicast;206.130.61.0/24
536;496;IPv6 Unicast;2001:504:20:81::/64
537;823;IPv4 Unicast;203.163.222.0/24
538;804;IPv4 Unicast;206.130.10.0/24
539;804;IPv6 Unicast;2001:504:36::/64
540;806;IPv4 Unicast;206.126.240.0/24
541;806;IPv6 Unicast;2001:504:34::/64
542;825;IPv4 Unicast;206.130.0.0/24
543;825;IPv6 Unicast;2001:504:2b::/64
544;512;IPv6 Unicast;2001:7f8:82::/64
545;829;IPv4 Unicast;204.228.158.0/24
546;829;IPv6 Unicast;2607:fa18:1:f00::/64
547;565;IPv6 Unicast;2001:504:24:1::/64
548;142;IPv4 Unicast;206.72.210.0/23
549;833;IPv4 Unicast;206.108.114.0/24
550;866;IPv4 Unicast;185.1.15.0/24
