308;4134;1 Tbps+;Balanced;Global;NSP;Selective;N;N
309;29838;20-50 Gbps;Balanced;North America;NSP;Open;N;N
311;23393;100+ Gbps;Mostly Outbound;Global;Content;Selective;N;N
312;10678;100-1000Mbps;Mostly Inbound;North America;Cable/DSL/ISP;Open;N;N
313;12528;20-100Mbps;Mostly Outbound;Europe;Content;Open;N;N
316;8839;5-10Gbps;Heavy Outbound;Europe;Content;Selective;N;N
317;6327;500-1000 Gbps;Mostly Inbound;North America;Cable/DSL/ISP;Selective;N;N
318;19752;5-10Gbps;Mostly Inbound;North America;NSP;Open;N;N
319;3209;Not Disclosed;Mostly Inbound;Regional;Cable/DSL/ISP;Selective;N;N
320;8554;100-1000Mbps;Mostly Outbound;Europe;NSP;Open;N;N
321;2152;100+ Gbps;Balanced;Regional;Educational/Research;Selective;N;N
322;15422;5-10Gbps;Mostly Outbound;Global;Content;Open;N;N
324;9177;0-20 Mbps;Balanced;Regional;NSP;Open;N;N
327;9145;50-100 Gbps;Mostly Inbound;Regional;Cable/DSL/ISP;Open;N;N
341;702;Not Disclosed;Balanced;Europe;NSP;Restrictive;N;N
342;29876;20-100Mbps;Balanced;North America;NSP;Open;N;N
343;101;10-20Gbps;Balanced;Regional;Educational/Research;Open;N;N
344;4355;5-10Gbps;Balanced;North America;Cable/DSL/ISP;Restrictive;N;N
345;24904;1-5Gbps;Balanced;Regional;Cable/DSL/ISP;Selective;N;N
346;6830;1 Tbps+;Balanced;Global;Cable/DSL/ISP;Restrictive;N;N
347;5605;Not Disclosed;Balanced;Regional;Cable/DSL/ISP;Open;N;N
348;25542;1-5Gbps;Heavy Outbound;Europe;NSP;Selective;N;N
349;16243;10-20Gbps;Balanced;Europe;NSP;Open;N;N
350;1290;Not Disclosed;Balanced;Regional;NSP;Selective;N;N
353;27524;50-100 Gbps;Mostly Outbound;North America;NSP;Selective;N;N
355;14361;10-20Gbps;Mostly Outbound;North America;NSP;Selective;N;N
357;30176;1-5Gbps;Mostly Outbound;North America;Content;Open;N;N
358;21473;20-100Mbps;Balanced;Europe;Cable/DSL/ISP;Open;N;N
360;43376;50-100 Gbps;Balanced;Europe;Cable/DSL/ISP;Open;N;N
366;6140;1-5Gbps;Mostly Inbound;Regional;NSP;Open;N;N
367;25443;100-1000Mbps;Heavy Outbound;Europe;Content;Open;N;N
369;13680;Not Disclosed;Mostly Outbound;Global;NSP;Open;N;N
371;27257;50-100 Gbps;Balanced;Global;Content;Open;N;N
380;3292;1 Tbps+;Mostly Inbound;Regional;Cable/DSL/ISP;Selective;N;N
384;12359;100-1000Mbps;Mostly Outbound;Regional;NSP;Open;N;N
386;2381;100+ Gbps;Mostly Inbound;Regional;Educational/Research;Open;N;N
387;21844;50-100 Gbps;Mostly Outbound;Global;Content;Restrictive;N;N
388;13649;5-10Gbps;Mostly Outbound;North America;Content;Open;N;N
389;26347;100-1000Mbps;Heavy Outbound;Regional;Content;Open;N;N
390;29748;20-50 Gbps;Heavy Outbound;North America;Content;Selective;N;N
393;7575;50-100 Gbps;Balanced;Asia Pacific;Educational/Research;Selective;N;N
396;3602;Not Disclosed;Balanced;North America;NSP;Restrictive;N;N
399;33763;5-10Gbps;Balanced;Global;NSP;Selective;N;N
401;6619;100-1000Mbps;Balanced;Global;NSP;Selective;N;N
403;11457;100-1000Mbps;Mostly Outbound;Regional;NSP;Open;N;N
404;13571;10-20Gbps;Mostly Inbound;North America;Cable/DSL/ISP;Selective;N;N
405;26108;20-100Mbps;Mostly Outbound;Regional;Content;Open;N;N
409;12111;100-1000Mbps;Balanced;North America;NSP;Open;N;N
411;3043;20-50 Gbps;Balanced;Regional;NSP;Open;N;N
416;6456;Not Disclosed;Balanced;Global;Content;Open;N;N
418;5738;1-5Gbps;Mostly Inbound;Regional;Cable/DSL/ISP;Open;N;N
419;25137;10-20Gbps;Balanced;Europe;NSP;Open;N;N
421;3064;1-5Gbps;Heavy Outbound;Global;Content;Open;N;N
423;31529;100-1000Mbps;Mostly Outbound;Global;Non-Profit;Open;N;N
428;5650;Not Disclosed;Mostly Inbound;North America;NSP;Selective;N;N
430;26496;50-100 Gbps;Mostly Outbound;Global;Content;Selective;N;N
431;297;5-10Gbps;Balanced;North America;Educational/Research;Selective;N;N
432;25751;Not Disclosed;Balanced;Regional;Content;Selective;N;N
433;15169;Not Disclosed;Mostly Outbound;Global;Content;Open;N;N
435;703;Not Disclosed;Balanced;Asia Pacific;NSP;Selective;N;N
436;5533;Not Disclosed;Balanced;Europe;Cable/DSL/ISP;Selective;N;N
437;6453;1 Tbps+;Balanced;Global;NSP;Restrictive;N;N
438;14589;1-5Gbps;Balanced;North America;Cable/DSL/ISP;Open;N;N
439;15542;20-50 Gbps;Mostly Inbound;Regional;Cable/DSL/ISP;Open;N;N
440;20500;5-10Gbps;Mostly Inbound;Europe;Cable/DSL/ISP;Restrictive;N;N
441;13645;5-10Gbps;Balanced;North America;NSP;Restrictive;N;N
442;30071;Not Disclosed;Balanced;Global;Educational/Research;Selective;N;N
443;29117;Not Disclosed;Mostly Outbound;Global;Content;Open;N;N
446;12902;100-1000Mbps;Balanced;Europe;Cable/DSL/ISP;Open;N;N
447;31668;20-100Mbps;Balanced;Europe;Enterprise;Selective;N;N
448;4716;Not Disclosed;Mostly Inbound;Regional;Cable/DSL/ISP;Open;N;N
450;15557;1 Tbps+;Balanced;Europe;Cable/DSL/ISP;Selective;N;N
454;16186;1-5Gbps;Balanced;Europe;NSP;Selective;N;N
456;21409;1-5Gbps;Heavy Outbound;Europe;NSP;Open;N;N
457;2906;1 Tbps+;Mostly Outbound;Global;Content;Open;N;N
458;2119;1 Tbps+;Balanced;Global;NSP;Selective;N;N
459;7908;1-5Gbps;Balanced;Regional;NSP;Open;N;N
461;16245;10-20Gbps;Balanced;Regional;NSP;Open;N;N
462;8342;50-100 Gbps;Mostly Outbound;Europe;NSP;Selective;N;N
464;4150;1-5Gbps;Balanced;North America;Cable/DSL/ISP;Open;N;N
466;24098;0-20 Mbps;Mostly Inbound;Asia Pacific;Cable/DSL/ISP;Open;N;N
468;29670;100-1000Mbps;Balanced;Europe;Non-Profit;Open;N;N
469;5392;100-1000Mbps;Balanced;Europe;NSP;Open;N;N
471;29158;100-1000Mbps;Balanced;Europe;Content;Open;N;N
472;15657;100-1000Mbps;Mostly Outbound;Europe;Content;Open;N;N
473;12083;300-500 Gbps;Mostly Inbound;North America;Cable/DSL/ISP;Open;N;N
475;12713;100-200 Gbps;Mostly Inbound;Global;NSP;Selective;N;N
478;29329;1-5Gbps;Mostly Inbound;Regional;NSP;Open;N;N
479;5430;1-5Gbps;Balanced;Regional;NSP;Open;N;N
481;21947;5-10Gbps;Mostly Inbound;Regional;NSP;Open;N;N
485;8527;1-5Gbps;Mostly Outbound;Europe;Content;Open;N;N
487;9304;50-100 Gbps;Balanced;Global;NSP;Selective;N;N
490;25441;1-5Gbps;Mostly Inbound;Europe;Cable/DSL/ISP;Open;N;N
493;24130;5-10Gbps;Mostly Inbound;Regional;NSP;Open;N;N
494;25309;20-50 Gbps;Balanced;Regional;Non-Profit;Open;N;N
495;5511;1 Tbps+;Balanced;Global;NSP;Restrictive;N;N
497;25975;100-1000Mbps;Balanced;Regional;NSP;Open;N;N
499;34019;100-1000Mbps;Mostly Outbound;Regional;Non-Profit;Open;N;N
500;34746;0-20 Mbps;Mostly Outbound;Europe;Content;Open;N;N
501;8014;Not Disclosed;Mostly Inbound;Regional;Cable/DSL/ISP;Selective;N;N
502;2128;Not Disclosed;Balanced;Regional;Non-Profit;Open;N;N
504;3356;1 Tbps+;Balanced;Global;NSP;Restrictive;N;N
505;13193;5-10Gbps;Balanced;Europe;Cable/DSL/ISP;Selective;N;N
507;35028;100-1000Mbps;Mostly Outbound;Europe;Content;Open;N;N
508;8928;Not Disclosed;Balanced;Europe;NSP;Selective;N;N
509;29877;100-1000Mbps;Mostly Inbound;North America;Cable/DSL/ISP;Open;N;N
510;33419;Not Disclosed;Balanced;North America;Content;Open;N;N
513;15533;1-5Gbps;Balanced;Europe;Content;Open;N;N
514;1784;1-5Gbps;Balanced;North America;NSP;Open;N;N
515;\N;Not Disclosed;Not Disclosed;Not Disclosed;Not Disclosed;\N;N;N
516;4565;Not Disclosed;Mostly Inbound;North America;NSP;Restrictive;N;N
521;286;500-1000 Gbps;Balanced;Global;NSP;Restrictive;N;N
522;19151;200-300 Gbps;Balanced;Global;NSP;Selective;N;N
524;30740;1-5Gbps;Mostly Inbound;Regional;Cable/DSL/ISP;Open;N;N
525;558;20-50 Gbps;Mostly Outbound;Regional;NSP;Open;N;N
526;34243;20-100Mbps;Mostly Outbound;Europe;Content;Open;N;N
527;34242;0-20 Mbps;Mostly Outbound;Europe;Content;Open;N;N
529;7332;1-5Gbps;Balanced;North America;Cable/DSL/ISP;Open;N;N
530;5462;20-50 Gbps;Mostly Inbound;Europe;Cable/DSL/ISP;Selective;N;N
531;30092;10-20Gbps;Mostly Outbound;North America;NSP;Selective;N;N
532;13049;100-1000Mbps;Mostly Outbound;Europe;Cable/DSL/ISP;Open;N;N
533;36472;Not Disclosed;Heavy Outbound;North America;Content;Open;N;N
534;35406;0-20 Mbps;Mostly Outbound;Regional;Content;Open;N;N
535;16150;50-100 Gbps;Mostly Outbound;Europe;NSP;Restrictive;N;N
539;12989;1 Tbps+;Heavy Outbound;Global;NSP;Selective;N;N
540;4323;Not Disclosed;Balanced;North America;NSP;Selective;N;N
541;6461;100+ Gbps;Balanced;Global;NSP;Restrictive;N;N
543;11726;0-20 Mbps;Balanced;North America;Cable/DSL/ISP;Open;N;N
545;6405;10-20Gbps;Mostly Outbound;Global;NSP;Selective;N;N
550;25596;10-20Gbps;Mostly Inbound;Regional;Cable/DSL/ISP;Open;N;N
554;18052;0-20 Mbps;Mostly Inbound;Global;NSP;Selective;N;N
556;17106;100-1000Mbps;Balanced;Regional;Cable/DSL/ISP;Open;N;N
